itemId;name;category;profession;objType;subtype;grhIndex;oldSkillHerreria;oldSkillCarpinteria;suggestedRecipeLevel;materials;goldCost;currentlySold;currentVendors;hasCurrentRecipe;decision;notes
551;Flecha + 1 (1-4);Armas;carpentry;32;1;752;0;40;10;Leña(58)x3;1;NO;;SI;REVISAR;Candidato crafting si no se vende | Ya tiene receta actual
552;Flecha + 2 (1-5);Armas;carpentry;32;1;752;0;80;20;Leña(58)x5;1;NO;;SI;REVISAR;Candidato crafting si no se vende | Ya tiene receta actual
757;Daga Torcida (+100 Mana);Armas;blacksmith;2;0;15166;80;0;20;Lingote de hierro(386)x50;1;NO;;NO;REVISAR;Candidato crafting si no se vende
543;Red de pesca;Otros;carpentry;18;0;844;0;64;10;Leña(58)x270;50;SI;58:Pescador | 80:Mercader vende-todo | 118:Mercader vende-todo de ciudad descanso | 188:Vende-todo gnomos y enanos | 201:Vende-todo Orcos | 215:Vende-todo Vampiros | 228:Vende-todo Elfos | 241:Vende-todo Humanos | 243:Vende-todo Humanos;NO;REVISAR_TIENDA;Revisar si se quita de tienda
366;Daga + 3 (5-7);Armas;blacksmith;2;0;711;84;0;20;Lingote de hierro(386)x28;1;NO;;SI;REVISAR;Candidato crafting si no se vende | Ya tiene receta actual
553;Flecha + 3 (1-6);Armas;carpentry;32;1;752;0;100;30;Leña(58)x7;1;NO;;SI;REVISAR;Candidato crafting si no se vende | Ya tiene receta actual
1036;Báculo Mágico (+20 DM);Armas;carpentry;2;0;29020;0;100;20;Leña(58)x5000;1;SI;178:Varitas de Magos;SI;REVISAR_TIENDA;Revisar si se quita de tienda | Ya tiene receta actual
1222;Sombrero Chamán (+15 DM);Cascos;mixed;3;1;16425;100;100;30;Lingote de hierro(386)x50 + Lingote de plata(387)x75;1;NO;;NO;REVISAR;Candidato crafting si no se vende
474;Barca;Otros;carpentry;31;0;749;0;110;10;Leña(58)x10000;28;NO;;SI;REVISAR;Candidato crafting si no se vende | Ya tiene receta actual
362;Tambor;Armas;carpentry;26;0;684;0;160;10;Leña(58)x7500;1;NO;;NO;REVISAR;Candidato crafting si no se vende
